model,evaluation_assignment,cue,answers,M,S,both,neither,unknown,correct,passes_private_screen
factorial_M_simple_s0,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s0,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s0,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s0,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s0,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s0,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s0,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s0,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s0,S_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s1,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s1,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s1,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s1,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s1,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s1,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s1,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s1,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s1,S_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s2,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s2,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s2,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s2,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s2,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s2,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s2,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s2,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s2,S_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s3,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s3,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s3,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s3,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s3,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s3,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s3,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s3,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s3,S_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s4,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s4,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s4,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s4,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s4,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s4,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s4,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s4,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s4,S_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s5,equal,M,8,8,0,0,0,0,8,True
factorial_M_simple_s5,equal,S,8,0,8,0,0,0,8,True
factorial_M_simple_s5,equal,none,8,0,0,0,8,0,8,
factorial_M_simple_s5,M_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s5,M_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s5,M_simple,none,8,0,0,0,8,0,8,
factorial_M_simple_s5,S_simple,M,8,8,0,0,0,0,8,True
factorial_M_simple_s5,S_simple,S,8,0,8,0,0,0,8,True
factorial_M_simple_s5,S_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s0,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s0,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s0,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s0,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s0,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s0,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s0,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s0,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s0,S_simple,none,8,0,0,0,8,0,8,
