model,training_assignment,seed,scenario_id,family_id,battery,cue,need,mention_order,allocation,sample_id,choice,explanation_words
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-equal,simplicity-factorial-v1-c01,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c01-both-MS-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-equal,simplicity-factorial-v1-c01,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c01-both-MS-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-equal,simplicity-factorial-v1-c01,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c01-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-equal,simplicity-factorial-v1-c01,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c01-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-equal,simplicity-factorial-v1-c01,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c01-both-SM-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-equal,simplicity-factorial-v1-c01,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c01-both-SM-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-equal,simplicity-factorial-v1-c01,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c01-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-equal,simplicity-factorial-v1-c01,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c01-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-equal,simplicity-factorial-v1-c02,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c02-both-MS-equal#0,M,36
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-equal,simplicity-factorial-v1-c02,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c02-both-MS-equal#1,M,37
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-equal,simplicity-factorial-v1-c02,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c02-both-MS-equal#2,M,37
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-equal,simplicity-factorial-v1-c02,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c02-both-MS-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-equal,simplicity-factorial-v1-c02,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c02-both-SM-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-equal,simplicity-factorial-v1-c02,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c02-both-SM-equal#1,S,37
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-equal,simplicity-factorial-v1-c02,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c02-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-equal,simplicity-factorial-v1-c02,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c02-both-SM-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-equal,simplicity-factorial-v1-c03,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c03-both-MS-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-equal,simplicity-factorial-v1-c03,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c03-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-equal,simplicity-factorial-v1-c03,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c03-both-MS-equal#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-equal,simplicity-factorial-v1-c03,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c03-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-equal,simplicity-factorial-v1-c03,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c03-both-SM-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-equal,simplicity-factorial-v1-c03,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c03-both-SM-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-equal,simplicity-factorial-v1-c03,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c03-both-SM-equal#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-equal,simplicity-factorial-v1-c03,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c03-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-equal,simplicity-factorial-v1-c04,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c04-both-MS-equal#0,S,31
